longitude,latitude,type,filterrank,category_en,sizerank,maki,class,name
-70.74605762958527,-33.35980568178536,Parking,5,Car Parking,13,parking,motorist,
-70.74519127607346,-33.35965334317535,Parking,5,Car Parking,14,parking,motorist,
-70.66312909126282,-33.44333999180436,Attraction,1,Tourist Attraction,15,attraction,arts_and_entertainment,Palacio Larraín Mancheño
-70.66321223974228,-33.44452954387501,Yes,5,,15,marker,building,ANEIICH
-70.6641174852848,-33.44426097286704,Educational Institution,5,Educational Institution,16,marker,commercial_services,Maristas Chile
-70.66420063376427,-33.443081488679475,School,5,School,16,school,education,Jardón O'Clock
-70.66259264945984,-33.442963987004426,Hotel,3,Hotel,16,lodging,lodging,Happy House Hostel
-70.66380769014359,-33.444657114812514,Yes,5,Shop,16,marker,store_like,Us Car
-70.66385462880135,-33.44465935289746,Cafe,5,Cafe,16,cafe,food_and_drink,Caffeteria
-70.66389486193657,-33.44466382906718,Books,5,Book Store,16,shop,store_like,Extreme Libreria
-70.66393911838531,-33.44466159098235,Yes,5,Shop,16,marker,store_like,El Jazmin
-70.66324844956398,-33.44265512469961,Hostel,4,Hostel,16,lodging,lodging,Hostel Cien Fuegos
-70.66319480538368,-33.44484175662662,Museum,5,Museum,15,museum,arts_and_entertainment,Fundación Museo Guerra del Pacífico Domingo de Toro Herrera
-70.66474378108978,-33.44419718713046,Restaurant,1,Restaurant,16,restaurant,food_and_drink,Palacio del Vino
-70.66229492425919,-33.44279388905956,University,3,University,16,college,education,Instituto Chileno Británico de Cultura
-70.66318675875664,-33.44505773109834,University,5,University Building,15,marker,education,Casa Pierre Bigo S.J.
-70.66371783614159,-33.44506780243365,School,5,School,16,school,education,Escuela Especial Cedin
-70.66473037004471,-33.444491496366105,Restaurant,3,Restaurant,16,restaurant,food_and_drink,El Puente de Chabuca
-70.66459357738495,-33.44465599577002,Casino,5,Casino,15,casino,arts_and_entertainment,
-70.66471964120865,-33.44454521049148,Kindergarten,5,Kindergarten,16,school,education,Rayitos De Sol
-70.66430926322937,-33.44489323245625,Hostel,4,Hostel,16,lodging,lodging,Landay Hostel
-70.6645841896534,-33.44272114970501,Hostel,5,Hostel,16,lodging,lodging,
-70.66448226571083,-33.44488875629837,Hardware,4,Hardware Store,16,hardware,store_like,Ferretería
-70.66302716732025,-33.445225586534015,University,5,University Building,16,marker,education,Casa Jorge González Förster S.J.
-70.66323772072792,-33.4452569195127,Pitch,5,,15,pitch,sport_and_leisure,Centro Deportivo UAH
-70.66329404711723,-33.44215937602011,Yes,5,Shop,16,marker,store_like,Red Market
-70.66404238343239,-33.44226121175883,University,5,University,15,college,education,Centro de Formación Técnica del Medio Ambiente SeDe Santiago
-70.66320151090622,-33.44214930434714,Copyshop,5,Shop,16,marker,store_like,Prontocopias
-70.66464856266975,-33.44492008939871,Yes,5,Shop,16,marker,store_like,Monroe
-70.70703014731407,-33.5858769626761,Variety Store,3,Variety Store,16,shop,store_like,Bazar Brisa
-70.70752903819084,-33.58568256664118,Playground,5,Playground,16,playground,park_like,
-70.70675790309906,-33.5857596547764,Alcohol,5,Liquor Store,16,alcohol-shop,food_and_drink_stores,Botilleria
-70.70673644542694,-33.58556302403442,Greengrocer,4,Greengrocer,16,grocery,food_and_drink_stores,Verduleria
-70.71085765957832,-33.588535898957296,Restaurant,1,Restaurant,16,restaurant,food_and_drink,Entre Rolls
-70.70607930421829,-33.58537197896388,School,2,School,15,school,education,Escuela Básica Parvularia Bélgica
-70.70644542574883,-33.58501446658434,School,5,School,16,school,education,Escuela Básica Bélgica
-70.64952358603477,-33.45875478531184,Company,3,,16,marker,general,Ph hnos.
-70.64951956272125,-33.45944176299395,Restaurant,1,Restaurant,16,restaurant,food_and_drink,"""El Pollo Cochino"""
-70.64944848418236,-33.45904121315039,Yes,5,Shop,16,marker,store_like,Catron
-70.64946994185448,-33.458579124020865,Computer,5,Computer Store,16,shop,store_like,Alfaomega Computación
-70.64943373203278,-33.45911617653003,Adult Gaming Centre,5,Casino,16,casino,arts_and_entertainment,Teletrak
-70.67861750721931,-33.44010137322151,Fast Food,5,Fast Food,16,fast-food,food_and_drink,La Picad Express
-70.67783564329147,-33.440188663075475,Restaurant,3,Restaurant,16,restaurant,food_and_drink,El Ajicito
-70.67867383360863,-33.440092420411,Convenience,5,Convenience Store,16,convenience,food_and_drink_stores,Cvd Mini Market
-70.67784234881401,-33.440043179936744,Yes,5,Shop,16,marker,store_like,Santa Teresita
-70.67898228764534,-33.441001125964895,Hospital,4,,15,marker,building,Ex Posta 3
-70.67933097481728,-33.44058482361664,School,4,School,14,school,education,Escuela Salvador Sanfuentes
-70.67940473556519,-33.43974326008091,Museum,1,Museum,15,museum,arts_and_entertainment,Museo de la Memoria y los Derechos Humanos
-70.67972660064697,-33.44016068556773,Attraction,4,Tourist Attraction,16,attraction,arts_and_entertainment,Galería de la Memoria
-70.67678421735764,-33.44049529596892,Restaurant,1,Restaurant,16,restaurant,food_and_drink,El Huaso Enrique
-70.67948520183563,-33.44115332202369,School,3,School,14,school,education,Liceo Polivalente A-28 Emilia Toro De Balmaceda
-70.67999213933945,-33.44049865325739,Library,5,Library,16,library,public_facilities,BiblioMetro
-70.68001359701157,-33.44022111697315,Gallery,3,Art Gallery,16,art-gallery,arts_and_entertainment,Sala Pablo Neruda
-70.67781552672386,-33.44170055417625,Yes,5,,15,marker,building,Direccion Sistema Nacional de Bibliotecas Públicas de Chile
-70.67827954888344,-33.44174867462988,Museum,2,Museum,16,museum,arts_and_entertainment,Museo de la Educación Gabriela Mistral
-70.67838951945305,-33.44174531738979,Yes,4,,15,marker,building,Museo de la Educación
-70.676579028368,-33.43973094991541,Office,3,,15,marker,building,Radio Cooperativa
-70.67685797810555,-33.44121934817204,Restaurant,4,Restaurant,16,restaurant,food_and_drink,Zarita
-70.6771382689476,-33.441485690429765,Tea,5,Shop,16,marker,store_like,Tetería Cleopatra
-70.68031400442123,-33.44050648692995,Yes,4,,15,marker,building,Salida B
-70.68034887313843,-33.440258047255725,Yes,4,,15,marker,building,Salida A
-70.68019598722458,-33.43953958257278,Place Of Worship,5,Church,16,religious-christian,religion,Santuario Cristo Pobre
-70.67806765437126,-33.442085517057905,Pitch,5,,15,basketball,sport_and_leisure,
-70.67610964179039,-33.43984286044651,Convenience,4,Convenience Store,16,convenience,food_and_drink_stores,Mini Market
-70.68038374185562,-33.43976004666739,Attraction,2,Tourist Attraction,15,attraction,arts_and_entertainment,Cité Las Palmas
-70.67806497216225,-33.44218399566021,School,3,School,14,school,education,Escuela República de Panamá
-70.67965283989906,-33.4419087029232,Memorial,4,Memorial,16,monument,historic,Sitio de Memoria Hospital San Juan de Dios
-70.67588165402412,-33.43981040640736,Convenience,4,Convenience Store,16,convenience,food_and_drink_stores,Mini Market La Familia
-70.67586556077003,-33.439765642195496,Yes,5,Shop,16,marker,store_like,Alenuz
-70.67586690187454,-33.43974326008091,Hairdresser,5,Shop,16,marker,store_like,Ximena
-70.67587226629257,-33.43971640153577,Alcohol,5,Liquor Store,16,alcohol-shop,food_and_drink_stores,Botilleria Basty
-70.67587092518806,-33.43968282834267,Yes,5,Shop,16,marker,store_like,Almacén El Rorro
-70.67588567733765,-33.43963694495774,Yes,4,Shop,16,marker,store_like,Fredi
-70.67838683724403,-33.442367523666235,School,4,School,16,school,education,Escuela Especial Integracion Plena
-70.67881867289543,-33.44232164170113,School,5,School,16,school,education,Escuela Básica Hospitalaria San Juan de Dios
-70.67917540669441,-33.44223994936172,Government,5,,16,marker,general,Registro Civil SO Hospital San Juan de Dios
-70.6799478828907,-33.43856595271404,Funeral Directors,5,Shop,16,marker,store_like,Funeraria Universo
-70.67829698324203,-33.43799743735346,School,5,School,16,school,education,Liceo Comercial Eliodoro Dominguez
-70.67906275391579,-33.4425779089516,Parking,5,Car Parking,15,parking,motorist,
-70.67539885640144,-33.440665398420585,Parking,5,Car Parking,15,parking,motorist,
-70.657217502594,-33.44405506786448,Government,5,,16,marker,general,Superintendencia de Salud
-70.65718397498131,-33.4440047105884,Office,5,,15,marker,building,Torre 6
-70.65766006708145,-33.444654876727505,Clinic,5,Clinic,15,doctor,medical,Mega Salud
-70.657579600811,-33.44463473395986,Pharmacy,5,Pharmacy,16,pharmacy,medical,SalcoBrand
-70.65717861056328,-33.44423971096006,Office,5,,15,marker,building,Torre 2
-70.65698146820068,-33.44390959120936,Cafe,5,Cafe,16,cafe,food_and_drink,Starbucks
-70.65719068050385,-33.44432811569698,Government,5,,16,marker,general,Comando de Salud del Ejército
-70.65733686089516,-33.444509401078264,Post Office,5,Post Office,16,post,public_facilities,Correos Chile
-70.58971971273422,-33.51632005477773,Parking,5,Car Parking,15,parking,motorist,
-70.5885811150074,-33.51286500379399,Yes,3,Shop,16,marker,store_like,Amasanderia
-70.58891370892525,-33.516000272681744,Park,3,Park,15,park,park_like,Plaza Chilenos Ilustres
-70.58844164013863,-33.51544232836222,School,3,School,16,school,education,Escuela de Párvulos Samorito
-70.59109166264534,-33.51751978616085,Playground,5,Playground,16,playground,park_like,
-70.58872193098068,-33.5159566659407,Arts Centre,2,Arts Center,15,art-gallery,arts_and_entertainment,Casa de la Cultura de La Florida
-70.58847516775131,-33.51590635044296,Theatre,1,Theater,15,theatre,arts_and_entertainment,Teatro Municipal de La Florida
-70.58773756027222,-33.51369243957185,Playground,3,Playground,16,playground,park_like,Maquinas de juego
-70.58832228183746,-33.51616687259253,Parking,5,Car Parking,15,parking,motorist,
-70.58765977621078,-33.512900784964295,Park,2,Park,15,park,park_like,Plaza General Yañez
-70.58832496404648,-33.51632117289488,Parking,5,Car Parking,16,parking,motorist,
-70.58663249015808,-33.45975727860683,Tea,3,Shop,16,marker,store_like,NamasTé Tetería
-70.58540403842926,-33.459626373332355,Kindergarten,1,Kindergarten,16,school,education,Chamin
-70.55534720420837,-33.524614968191,Fitness Centre,5,Fitness Center,15,fitness-centre,sport_and_leisure,
-70.55518761277199,-33.52579446062412,Construction,1,Construction,12,marker,industrial,Condominio Alto los Cañas
-70.5528299510479,-33.52540092560057,School,1,School,16,school,education,Escuela Lo Cañas
