longitude,latitude,type,class,name,cat,poi_id
-70.7316192984581,-33.47331888895256,Restaurant,food_and_drink,Comida China,1,16163
-70.73119953274727,-33.4670887772602,Park,park_like,Plaza Avenida Las Torres,1,16164
-70.72911411523819,-33.46834065286062,Supermarket,food_and_drink_stores,Montserrat,2,16165
-70.72923347353935,-33.467711920458264,Restaurant,food_and_drink,Nuevo Siglo,1,16166
-70.72859779000282,-33.4724496759773,Playground,park_like,NoName,1,16167
-70.72995096445084,-33.46671623170029,School,education_prim,Escuela de Lenguaje HELLO CHILDREN,1,16168
-70.60435652732849,-33.416666467399715,Clinic,medical,Cruz Roja Chilena,3,16169
-70.54219096899033,-33.39177184564426,Bar,food_and_drink,Pro Bar,1,16170
-70.54218292236328,-33.392285797551004,Doctors,medical,Sanar,1,16171
-70.54422006011009,-33.39076296824907,Convenience,food_and_drink_stores,Tostaduría Talca,1,16172
-70.6491132080555,-33.44167593439896,Fast Food,food_and_drink,Dominó,1,16173
-70.64911991357803,-33.44163229023114,Cafe,food_and_drink,Starbucks,1,16174
-70.64912661910057,-33.44158416971296,Fast Food,food_and_drink,KFC,1,16175
-70.64966842532158,-33.44175762726946,Cafe,food_and_drink,Gelato's Cafe,1,16176
-70.64936265349388,-33.44144652250196,Cafe,food_and_drink,Cafe Haiti,1,16177
-70.64925402402878,-33.44239326231896,Pharmacy,medical,SalcoBrand,1,16178
-70.64897239208221,-33.44122941995296,Library,arts_and_entertainment,Archivo Histórico Agustino,2,16179
-70.64843192696571,-33.4418382009842,Restaurant,food_and_drink,El Naturista,1,16180
-70.65002784132957,-33.441993752805125,Pharmacy,medical,Farmacia del Doctor Ahorro,1,16181
-70.64883559942245,-33.44253426523754,Pharmacy,medical,Dr. Ahorro,1,16182
-70.64899921417236,-33.44261595729979,Fast Food,food_and_drink,Los Pollitos Dicen,1,16183
-70.62248423695564,-33.446287544395695,University,education_sup,Sector E,3,16184
-70.622368901968,-33.44618795142899,University,education_sup,Sector A,3,16185
-70.62297508120537,-33.44673291379153,University,education_sup,Universidad UNIACC Sede Lautaro,3,16186
-70.62247216701508,-33.44583881563144,Convenience,food_and_drink_stores,Copec,1,16187
-70.6234484910965,-33.44688957584941,Restaurant,food_and_drink,Guillermo Rodriguez,1,16188
-70.6525531411171,-33.40838248688103,Sports Centre,sport_and_leisure,Complejo Deportivo N2,2,16189
-70.65215349197388,-33.40790333518851,Pitch,sport_and_leisure,Complej Deportivo Nº 2,1,16190
-70.65016463398933,-33.41019719397982,Place Of Worship,religion,Arbol Frutal,1,16191
-70.65214142203331,-33.407095040595955,Place Of Worship,religion,La Iglesia de Jesucristo de los Santos de los Últimos Días,1,16192
-70.6527328491211,-33.406754703780635,School,education_prim,Colegio San Benildo,1,16193
-70.65348654985428,-33.40620165361196,Convenience,food_and_drink_stores,El Chinito,1,16194
-70.64986690878868,-33.41177453659331,Cemetery,park_like,patio 94,2,16195
-70.57070150971413,-33.53592401709357,Place Of Worship,religion,Iglesia Mormona,1,16196
-70.56863620877266,-33.53530360050718,Kindergarten,education_prim,Bam Bam,1,16197
-70.57101666927338,-33.53508561524411,Cinema,arts_and_entertainment,Cinepolis,3,16198
-70.57158261537552,-33.53429639220696,Playground,park_like,NoName,1,16199
-70.57223707437515,-33.53524658902991,Supermarket,food_and_drink_stores,Mayorista 10,2,16200
-70.5718307197094,-33.53442942039089,Fast Food,food_and_drink,Inkamor,1,16201
-70.57151019573212,-33.534134298765,Ice Cream,food_and_drink,Savory,1,16202
-70.5718669295311,-33.5343858229414,Fast Food,food_and_drink,Mr Gloton,1,16203
-70.57167112827301,-33.53414994917955,Fast Food,food_and_drink,Subway,1,16204
-70.5694355070591,-33.53350045459487,Park,park_like,Condominio Sol de México,1,16205
-70.57189241051674,-33.534323221437006,Fast Food,food_and_drink,Churros Rissopoli,1,16206
-70.57189106941223,-33.53425950200206,Fast Food,food_and_drink,Jose's Chilexico,1,16207
-70.57276546955109,-33.536340979252515,Clinic,medical,Centro Médico Panay,3,16208
-70.59034734964371,-33.542890263028646,Place Of Worship,religion,NoName,1,16209
-70.58991953730583,-33.54312723071149,Pharmacy,medical,Farmacias Los Canelos,1,16210
-70.58969289064407,-33.54380795029947,Pharmacy,medical,Farmacias Ahumada,1,16211
-70.58893114328384,-33.54369729181516,Restaurant,food_and_drink,Sushi Kin,1,16212
-70.58885738253593,-33.543684996419266,Alcohol,food_and_drink_stores,Botilleria,1,16213
-70.58875545859337,-33.543256891998766,Playground,park_like,NoName,1,16214
-70.58876618742943,-33.54396667232252,Veterinary,veterinary,Centro Veterinario,2,16215
-70.58977335691452,-33.54577518859195,School,education_prim,Colegio Divina Pastora,1,16216
-70.59089049696922,-33.54662354628488,Park,park_like,Plaza El Amanecer,1,16217
-70.58809027075768,-33.54485081572184,University,education_sup,Campo Clínico Universidad del Desarrollo,3,16218
-70.59345066547394,-33.546764379562205,School,education_prim,Escuela Especial Arrayán,1,16219
-70.7018668949604,-33.4035818944486,Kindergarten,education_prim,Jardín Infantil y Sala Cuna Pablo Neruda,1,16220
-70.70227861404419,-33.40357629658803,Doctors,medical,SAR Renca,1,16221
-70.70296257734299,-33.40242424920785,Supermarket,food_and_drink_stores,Acuenta,2,16222
-70.70068538188934,-33.4037173625644,Kindergarten,education_prim,Caupolican,1,16223
-70.70254817605019,-33.404265950295176,School,education_prim,Instituto Cumbre De Cóndores,1,16224
-70.70157453417778,-33.40476863274594,Pitch,sport_and_leisure,Estadio Renca,1,16225
-70.70388793945312,-33.403623318605604,Police,security,NoName,3,16226
-70.69964468479156,-33.40361436203279,Place Of Worship,religion,Iglesia Evangélica Cristiana,1,16227
-70.70015698671341,-33.404355515310044,School,education_prim,Liceo Industrial Benjamín Dávila Larraín,1,16228
-70.7041722536087,-33.40382819995658,Police,security,NoName,3,16229
-70.70129558444023,-33.405195182833914,Sports Centre,sport_and_leisure,Estadio Municipal de Renca,2,16230
-70.70439353585243,-33.40397822206017,Police,security,7 Comisaría Renca,3,16231
-70.7010930776596,-33.40546499427542,Swimming Pool,sport_and_leisure,NoName,2,16232
-70.70319592952728,-33.405397821380774,School,education_prim,Escuela Especial T Y C School,1,16233
-70.70414140820503,-33.40108409323933,School,education_prim,Colegio Corazón de Jesús de Renca,1,16234
-70.69863751530647,-33.40365018831851,Place Of Worship,religion,NoName,1,16235
-70.70238590240479,-33.40572808761269,School,education_prim,Escuela Básica Roquer,1,16236
-70.70368811488152,-33.405345202577024,Pharmacy,medical,Farmacia Comunitaria,1,16237
-70.7050184905529,-33.404282743742506,Park,park_like,Plaza Mayor,1,16238
-70.70144176483154,-33.406056113508704,Pitch,sport_and_leisure,NoName,1,16239
-70.70127010345459,-33.40610649280281,Pitch,sport_and_leisure,NoName,1,16240
-70.70109575986862,-33.40615911114546,Pitch,sport_and_leisure,NoName,1,16241
-70.70337161421776,-33.405954235291354,School,education_prim,Escuela Especial Santa María de Renca,1,16242
-70.69795086979866,-33.40370840600128,Kindergarten,education_prim,El Mundo de los Niños,1,16243
-70.70132240653038,-33.3996565860771,Kindergarten,education_prim,Los Peques Y Pecas Del Mañana,1,16244
-70.70092141628265,-33.40621060991804,Pitch,sport_and_leisure,NoName,1,16245
-70.70231884717941,-33.40633487856965,Fast Food,food_and_drink,Donde Cuadrille,1,16246
-70.70467919111252,-33.405391104088444,Pharmacy,medical,Farmacias Ahumada,1,16247
-70.70192590355873,-33.40638637723804,Restaurant,food_and_drink,El Bajon Renca,1,16248
-70.7025495171547,-33.406344954398485,School,education_prim,Escuela Básica Particular N° 1277 Roquer,1,16249
-70.70510432124138,-33.40502165221093,School,education_prim,Centro Educacional Federico Garcia Lorca,1,16250
-70.70492327213287,-33.405264594986065,School,education_prim,Centro Educacional Federico García Lorca,1,16251
-70.70570379495621,-33.404229004699644,Restaurant,food_and_drink,Sushi Lover's 7.0,1,16252
-70.70569977164268,-33.40428386330554,Pharmacy,medical,SalcoBrand,1,16253
-70.70600688457489,-33.40339940400826,School,education_prim,Escuela Particular San Fidel,1,16254
-70.70584997534752,-33.40409913520885,Butcher,food_and_drink_stores,Ganadera Río Bueno,1,16255
-70.70475429296494,-33.40562620901065,Pharmacy,medical,Cruz Verde,1,16256
-70.56224718689919,-33.38826143926949,Park,park_like,Plaza Nicolas Gogol,1,16257
-70.7574811577797,-33.43648324342745,Kindergarten,education_prim,Los Patitos,1,16258
-70.75936004519463,-33.43390692666833,Kindergarten,education_prim,Los Pollitos,1,16259
-70.76101765036583,-33.43398638849345,Kindergarten,education_prim,Los Leoncitos,1,16260
-70.75504705309868,-33.43390244994362,School,education_prim,Escuela Albert Einstein,1,16261
-70.7609586417675,-33.43702602847171,Park,park_like,Plaza Jardín,1,16262
-70.75475066900253,-33.436336634925894,Bakery,food_and_drink_stores,Panadería San Francisco,1,16263
-70.75478821992874,-33.43660523046514,Convenience,food_and_drink_stores,Almacén,1,16264
-70.76052010059357,-33.432832506115325,Park,park_like,Plaza Teniente Merino,1,16265
-70.75440064072609,-33.43619338363169,Pharmacy,medical,Farmacia FarmaOferta,1,16266
-70.7600949704647,-33.43243407177927,Police,security,Subcomisaria Pudahuel Norte,3,16267
-70.76132342219353,-33.43313021147578,Doctors,medical,CECOSF Concejal Guillermo Flores,1,16268
-70.76129794120789,-33.438111588374355,School,education_prim,Escuela Básica Ejercito de Salvacion,1,16269
-70.7613180577755,-33.43249898536325,School,education_prim,Escuela Teniente Hernán Merino Correa,1,16270
-70.76132476329803,-33.43225164196434,School,education_prim,Escuela Teniente Hernán Merino Correa,1,16271
