id,monto,superficie_t,dormitorios,dormitorios_faltante,banos,banos_faltante,antiguedad,antiguedad_faltante,Or_N,Or_S,Or_E,Or_O,Or_Faltante,terraza,estacionamiento,bodegas,flag_Departamento,flag_Multinivel,flag_Semipiso,flag_Premium,flag_Monoambiente,flag_Loft,latitud,longitud,comuna,calle
2854542356,1850,40.0,1,0,2,1,9,1,0,0,0,0,1,3.0,0,0,1,0,0,0,0,0,-33.4457784,-70.6336925,Santiago,Marín
2857614246,1850,34.0,1,0,1,0,8,0,0,0,0,1,0,2.0,0,0,1,0,0,0,0,0,-33.4478629,-70.6381078,Santiago,Santa Victoria
2858897602,1716,31.16,1,0,1,0,9,1,1,0,0,0,0,2.02,0,1,1,0,0,0,0,0,-33.4476619,-70.6351796,Santiago,Avenida Portugal
2861585484,1850,29.0,2,1,1,0,19,0,0,0,0,0,1,0.0,0,0,1,0,0,0,0,0,-33.4440938,-70.6337365,Santiago,General Jofré
1591705925,1850,48.0,1,0,1,0,20,0,0,0,0,1,0,2.0,1,0,1,0,0,0,0,0,-33.4469441,-70.6448261,Santiago,Avenida Santa Rosa
1573125979,1844,40.0,2,0,1,0,17,0,0,0,0,1,0,1.0,0,0,1,0,0,0,0,0,-33.4442382,-70.6344593,Santiago,General Jofré
1586947631,1844,35.0,1,0,1,0,9,1,0,1,0,0,0,0.0,0,0,1,0,0,0,0,0,-33.4458127,-70.6411628,Santiago,Curicó
1589146913,1844,40.0,2,0,1,0,14,0,0,0,0,0,1,1.0,0,0,1,0,0,0,0,0,-33.4498035,-70.6415088,Santiago,Avenida Santa Isabel
2856114564,1844,38.0,1,0,1,0,15,0,1,0,0,0,0,3.0,0,0,1,0,0,0,0,0,-33.4489443,-70.6327449,Santiago,Argomedo
2852109488,1865,35.0,1,0,1,0,8,0,0,0,0,0,1,3.0,0,0,1,0,0,0,0,0,-33.4506173,-70.6414493,Santiago,Carmen
1551263223,1870,33.0,1,0,1,0,0,0,0,0,1,0,0,4.0,0,0,1,0,0,0,0,0,-33.4489396,-70.6353629,Santiago,Avenida Portugal
2831426196,1870,35.0,1,0,1,0,0,0,0,0,0,0,1,1.0,0,0,1,0,0,0,0,0,-33.4489443,-70.6327449,Santiago,Argomedo
1582860873,1998,50.0,2,0,2,0,16,0,1,0,0,0,0,3.0,0,0,1,0,0,0,0,0,-33.4473582,-70.642332,Santiago,Carmen
1560314233,1870,36.0,1,0,1,0,7,0,0,1,1,0,0,2.0,0,0,1,0,0,0,0,0,-33.4497278,-70.6384449,Santiago,Lira
1582563771,1870,49.0,2,0,1,0,0,0,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,-33.4487329,-70.6415462,Santiago,Santa Victoria
2860933188,1870,46.0,2,1,2,1,9,1,0,0,0,0,1,3.0,0,0,1,0,0,0,0,0,-33.4489902,-70.63245,Santiago,Argomedo
1569280351,1878,33.0,1,0,1,0,1,0,0,0,0,0,1,0.0,0,0,1,0,0,0,0,0,-33.4508787,-70.6409355,Santiago,Argomedo
1569827861,1880,31.0,1,0,1,0,9,1,0,0,0,0,1,0.0,0,0,1,0,0,0,0,0,-33.4491332,-70.6349406,Santiago,Avenida Portugal
1560608401,1890,36.0,1,0,1,0,10,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,-33.4467917,-70.6437311,Santiago,San Isidro
1582179067,1890,30.0,1,0,1,0,21,0,0,0,0,1,0,0.0,0,1,1,0,0,0,0,0,-33.4501887,-70.6416653,Santiago,Avenida Santa Isabel
2814313154,1890,35.0,1,0,1,0,12,0,0,0,0,1,0,4.0,0,0,1,0,0,0,0,0,-33.4494415,-70.6338087,Santiago,Argomedo
2842096532,1890,38.0,1,0,1,0,13,0,1,1,1,1,0,3.0,0,1,1,0,0,0,0,0,-33.4499566,-70.6427312,Santiago,San Isidro
2853756322,1890,36.0,1,0,1,0,10,0,0,0,0,0,1,3.0,0,0,1,0,0,0,0,0,-33.4459642,-70.6450885,Santiago,Avenida Santa Rosa
2859795788,1890,30.0,1,0,1,0,20,0,0,1,1,0,0,0.0,0,1,1,0,0,0,0,0,-33.4505581,-70.6423098,Santiago,Avenida Santa Isabel
2861523452,1790,31.0,1,0,1,0,0,0,0,0,0,1,0,1.0,0,0,1,0,0,0,0,0,-33.4488144,-70.6353363,Santiago,Avenida Portugal
2862496022,1890,38.0,1,0,2,1,9,1,0,0,0,0,1,3.0,0,0,1,0,0,0,0,0,-33.4478629,-70.6381078,Santiago,Santa Victoria
2811608908,1895,30.0,1,0,1,0,0,0,0,0,1,0,0,0.0,0,0,1,0,0,0,0,0,-33.4488927,-70.6407097,Santiago,Manuel Antonio Tocornal
1559784959,1900,31.0,1,0,1,0,0,0,0,0,0,1,0,0.0,0,0,1,0,0,0,0,0,-33.4452837,-70.6443224,Santiago,San Isidro
1560148843,1900,40.0,1,0,1,0,7,0,0,1,0,0,0,2.0,0,0,0,0,0,1,0,0,-33.4475456,-70.6392636,Santiago,Lira
1560149037,1900,33.0,1,0,1,0,11,0,1,0,0,0,0,2.0,0,1,1,0,0,0,0,0,-33.4472907,-70.6451011,Santiago,Avenida Santa Rosa
1561254395,1900,30.0,1,0,1,0,18,0,0,1,0,0,0,0.0,0,0,1,0,0,0,0,0,-33.4421015,-70.6342734,Santiago,Diagonal Paraguay
1569565867,1900,30.0,1,0,1,0,14,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,-33.4491424,-70.6349498,Santiago,Avenida Portugal
1578887247,1900,33.0,1,0,1,0,12,0,0,0,0,1,0,2.0,0,0,0,0,0,0,1,0,-33.4452837,-70.6443224,Santiago,San Isidro
1582663405,1900,40.0,1,0,2,1,9,1,0,0,0,0,1,4.0,0,0,1,0,0,0,0,0,-33.4456163,-70.6442686,Santiago,San Isidro
1583326315,1900,34.0,1,0,1,0,19,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,-33.446308,-70.6399176,Santiago,Lira
1583914377,1900,38.0,1,0,1,0,18,0,0,0,0,1,0,2.0,0,0,1,0,0,0,0,0,-33.4496923,-70.6426109,Santiago,San Isidro
1584467011,1900,30.0,1,0,1,0,0,0,0,0,0,1,0,0.0,0,0,1,0,0,0,0,0,-33.446806,-70.6435637,Santiago,San Isidro
1584798979,1900,30.0,1,0,1,0,9,1,0,1,1,0,0,0.0,0,0,1,0,0,0,0,0,-33.4439893,-70.6337086,Santiago,General Jofré
1587247999,1900,34.0,1,0,1,0,0,0,0,1,0,0,0,2.0,0,1,1,0,0,0,0,0,-33.4509052,-70.6407794,Santiago,Carmen
