id,monto,ppm2,superficie_t,superficie_u,terraza,ambientes,dormitorios,banos,estacionamiento,bodegas,cantidad_pisos,dep_por_piso,piso,tipo_depto,orientacion,antiguedad,latitud,longitud,comuna,calle
1573462425,2480,48.0,53.0,51.0,2.0,,2,1,,,28,,22,Departamento,SP,8,-33.4426048,-70.6591972,Santiago,Moneda
1574773163,2480,67.0,40.0,37.0,3.0,,1,1,,,6,8,,Departamento,O,6,-33.4336754,-70.6544766,Santiago,Morandé
1583863099,2490,56.0,46.11,43.7,2.41,,2,2,,,25,12,16,Departamento,N,15,-33.4334609,-70.6599594,Santiago,Avenida Manuel Rodríguez Norte
1591310019,2490,57.0,43.0,43.0,,2,2,1,1,,21,6,15,Departamento,P,10,-33.4359494,-70.6593274,Santiago,Rosas
1592736985,2490,50.0,52.0,49.0,3.0,1,,,,,,,,,,,-33.4378931,-70.6446277,Santiago,Merced
2859406692,2490,71.0,35.0,35.0,,,1,1,,1,24,,24,Departamento,P,16,-33.4370155,-70.6476549,Santiago,Monjitas
2854887906,2495,50.0,49.0,49.0,3.0,1,1,1,,,13,,10,Loft,S,15,-33.4379596,-70.6449796,Santiago,Merced
2857791692,2498,56.0,46.0,44.0,2.0,,2,2,,1,,,,,S,0,-33.434015,-70.65772,Santiago,San Pablo
2860907136,2498,61.0,43.37,40.91,2.46,2,2,1,,,,,,Semi piso,S,0,-33.4445104,-70.6601994,Santiago,Manuel Rodríguez Norte
1538375155,2500,61.0,43.4,40.9,2.5,3,,,,,,,,,,,-33.433426,-70.660057,Santiago,Avenida Manuel Rodríguez Norte
1572253127,2500,53.0,52.0,47.0,5.0,,1,2,,1,26,10,14,Departamento,O,16,-33.4364499,-70.6561124,Santiago,Santo Domingo
1583710455,2500,0.0,47.0,,,,2,2,1,,22,6,,Departamento,O,15,-33.433263,-70.653307,Santiago,Bandera
1584731809,2500,50.0,55.0,50.0,5.0,2,2,2,,,19,6,4,Departamento,N,17,-33.4368148,-70.6548582,Santiago,Santo Domingo
1586539709,2500,71.0,39.0,35.0,3.0,,1,1,,,,,,Departamento,,0,-33.4364557,-70.643947,Santiago,Monjitas
1588772947,2500,78.0,34.8,31.8,3.0,,1,1,,,,,,Departamento,NP,7,-33.4354536,-70.6585687,Santiago,San Martín
2852428920,2500,75.0,35.0,33.0,2.0,,1,1,,,,,,Departamento,NP,0,-33.4367637,-70.6544418,Santiago,Santo Domingo
2854473528,2500,55.0,45.0,45.0,,,2,1,,1,,,,,,,-33.4432707,-70.658988,Santiago,Tucapel Jiménez
2856140250,2500,76.0,37.21,32.77,,1,1,1,,,,,,Departamento,SO,7,-33.4426048,-70.6591972,Santiago,Moneda
2860858342,2500,59.0,42.0,42.0,,2,2,1,,,,,,,,,-33.433739,-70.658852,Santiago,San Martín
1565791017,2510,46.0,54.0,54.0,,,2,2,1,1,16,6,14,Departamento,O,15,-33.4362268,-70.6471275,Santiago,Enrique Mac Iver
2846284574,2434,17.0,138.0,138.0,,,4,2,,,9,,9,Departamento,,0,-33.4427989,-70.6562925,Santiago,Hermanos Amunátegui
2863721008,2520,45.0,59.0,56.0,3.0,,2,2,,,24,,24,Departamento,SP,17,-33.43634,-70.65504,Santiago,Santo Domingo
1591796507,2536,42.0,61.0,60.0,1.0,,2,2,,,24,10,24,Departamento,SP,17,-33.4362798,-70.6550326,Santiago,Santo Domingo
2785980806,2536,21.0,120.0,120.0,20.0,,2,2,,,4,3,3,Departamento,,100,-33.4378234,-70.6505019,Santiago,Plaza De Armas
1585184897,2548,55.0,46.0,46.0,,,2,1,,,,,,,,,-33.4353792,-70.6588077,Santiago,San Martín
2810276356,2241,48.0,46.0,46.0,,,2,1,,,,,,,,,-33.4353792,-70.6588077,Santiago,San Martín
1582511483,2550,56.0,47.0,45.0,1.0,,2,1,,1,,,,Departamento,P,0,-33.4337941,-70.6601006,Santiago,Avenida Manuel Rodríguez Norte
1584459971,2550,102.0,26.0,25.0,,1,1,1,,,,,12,Departamento,S,1,-33.4344302,-70.6579141,Santiago,San Pablo
2828348928,2550,60.0,48.0,42.0,5.0,,2,1,,1,18,8,16,Departamento,,,-33.4331831,-70.659563,Santiago,General Mackenna
1591435543,2570,57.0,50.0,45.0,5.0,,1,,,,,,,,,,-33.4341226,-70.6572758,Santiago,San Pablo
1570017389,2562,45.0,62.0,56.0,3.0,,2,,,,,,,,,,-33.4380277,-70.6570081,Santiago,Catedral
1591146739,2562,46.0,58.0,55.0,3.0,2,2,2,,,1,12,12,Departamento,P,15,-33.4364004,-70.6553536,Santiago,Santo Domingo
2861036022,2580,37.0,75.0,69.0,6.0,2,2,2,,1,7,1,7,Piso,O,17,-33.4341866,-70.6572437,Santiago,San Pablo
2861241388,2580,73.0,35.0,35.0,,,1,1,,1,22,13,14,Departamento,,15,-33.4379596,-70.6449796,Santiago,Merced
2742295048,2590,86.0,30.0,30.0,,,1,,,1,,,6,Departamento,P,0,-33.437852,-70.6446218,Santiago,Merced
2860803480,2599,51.0,50.0,50.0,,2,2,1,,,,,,Semi piso,P,0,-33.4389256,-70.6442002,Santiago,Huérfanos
1556722769,2500,50.0,50.0,50.0,,,2,2,,1,30,8,,Departamento,O,14,-33.4417741,-70.6593934,Santiago,Agustinas
2751216534,2600,56.0,46.0,46.0,,,1,1,,,,,,,,,-33.4344874,-70.6492247,Santiago,Diagonal Cervantes
2754271646,2600,74.0,35.0,35.0,3.0,,1,1,,,26,12,8,Departamento,,8,-33.4331831,-70.659563,Santiago,General Mackenna
2783907364,2600,81.0,34.5,32.0,2.5,,1,1,,,28,13,12,Departamento,N,7,-33.4329055,-70.6595094,Santiago,General Mackenna
2840636168,2500,43.0,60.0,57.0,3.0,,2,2,1,1,,8,,Departamento,,15,-33.4363577,-70.6543225,Santiago,Santo Domingo
2853408488,2600,61.0,46.0,42.0,4.0,,1,1,,1,28,12,19,Departamento,P,7,-33.4370227,-70.6577764,Santiago,Santo Domingo
2855057974,2600,60.0,48.41,43.05,5.36,3,2,1,1,1,1,10,12,Departamento,,15,-33.4331831,-70.659563,Santiago,General Mackenna
2860934098,2600,45.0,57.0,57.0,,2,2,2,,1,1,14,13,Departamento,O,20,-33.4397221,-70.6580234,Santiago,San Martín
1592672581,2613,62.0,10000.0,42.0,,1,1,1,,,6,,,,,2,-33.4376404,-70.6686369,Santiago,Santo Domingo
2821887122,2620,40.0,64.0,64.0,,,3,2,,,8,,6,Departamento,,60,-33.4334525,-70.6531893,Santiago,Bandera
1565781801,2630,62.0,43.2,42.3,1.0,2,2,1,1,1,20,7,20,Departamento,N,8,-33.443173,-70.6599176,Santiago,Avenida Manuel Rodríguez Norte
1533124643,2640,80.0,33.0,33.0,,2,1,1,,,22,20,11,,,,-33.437981,-70.644974,Santiago,Merced
2755160298,2640,77.0,35.0,34.0,1.0,2,1,1,,,22,20,16,,SO,,-33.437981,-70.644974,Santiago,Merced
1584294255,2650,53.0,55.0,50.0,5.0,,2,2,,1,,,16,Departamento,P,15,-33.4355693,-70.6570807,Santiago,Hermanos Amunátegui
1584642429,2650,80.0,33.0,33.0,,,1,1,1,1,16,10,2,Departamento,N,10,-33.4376135,-70.65532,Santiago,Catedral
1591299785,2650,54.0,49.0,49.0,2.0,2,,,,,,,,,,,-33.4403216,-70.6566932,Santiago,Hermanos Amunátegui
2855143690,2650,53.0,51.0,50.0,,2,2,2,,1,,,16,Departamento,O,16,-33.4355693,-70.6570807,Santiago,Hermanos Amunátegui
1591929339,2660,46.0,57.0,57.0,,,2,1,,,1,,,Departamento,NP,0,-33.4370635,-70.6495688,Santiago,Monjitas
2799841812,2660,39.0,70.0,68.0,2.0,4,4,2,,,13,5,5,Departamento,,60,-33.4400824,-70.6560722,Santiago,Huérfanos
1553816007,2670,51.0,52.0,52.0,2.0,,2,1,1,1,16,10,14,Departamento,O,11,-33.4340068,-70.6556672,Santiago,San Pablo
1577595975,2670,53.0,50.0,50.0,,2,1,1,,,22,,,,,17,-33.4433398,-70.6591986,Santiago,Tucapel Jiménez
1585144969,2690,52.0,51.0,51.0,4.0,,2,,,,,,,,,,-33.434006,-70.655667,Santiago,San Pablo
1577646517,2691,48.0,59.0,56.0,3.0,,2,2,,1,1,,,Departamento,O,1,-33.434267,-70.659245,Santiago,San Pablo
2851438202,2695,44.0,62.0,60.0,2.0,,2,1,,1,18,9,,Loft,,20,-33.4331117,-70.6532278,Santiago,Bandera
1580006975,2697,49.0,56.0,54.0,2.0,,2,2,,,25,,14,Departamento,N,16,-33.4364204,-70.6570806,Santiago,Hermanos Amunátegui
2784659280,2697,49.0,60.0,55.0,,2,2,,,,,,,Semi piso,N,15,-33.436082,-70.6572085,Santiago,Hermanos Amunátegui
2800352526,2697,49.0,56.0,55.0,1.0,,2,2,1,1,24,12,14,Departamento,N,13,-33.4365118,-70.6571441,Santiago,Hermanos Amunátegui
1583326881,2690,51.0,54.0,52.0,,,2,1,1,1,11,,,Departamento,NP,11,-33.434199,-70.654793,Santiago,Pasaje Proteccion Mutua De Chile
1592083299,2690,36.0,73.0,73.0,,2,2,2,,1,4,11,2,Departamento,,0,-33.4345963,-70.6479521,Santiago,Esmeralda
1584467465,2700,61.0,49.0,44.0,,,1,1,,,11,6,6,Departamento,O,70,-33.4406982,-70.6467701,Santiago,Enrique Mac Iver
1585612937,2700,75.0,38.0,36.0,2.0,,2,2,,1,20,7,14,Tríplex,N,14,-33.4417741,-70.6593934,Santiago,Agustinas
1586844445,2700,729.0,53.0,3.7,53.0,2,2,2,,,4,15,4,Departamento,O,9,-33.434267,-70.6592453,Santiago,San Pablo
2854861808,2700,50.0,53.0,53.0,2.0,,2,2,,,1,,16,Departamento,,11,-33.4359494,-70.6593274,Santiago,Rosas
2859226706,2700,56.0,48.0,48.0,,,2,2,,,15,,,Departamento,O,27,-33.4360669,-70.6467824,Santiago,Santo Domingo
2863183940,2700,52.0,51.0,51.0,,1,1,1,,,15,12,4,Departamento,S,16,-33.44032,-70.6587115,Santiago,Huérfanos
2863202162,2700,46.0,55.0,58.0,3.0,,3,1,1,1,25,10,12,Departamento,P,,-33.4320823,-70.659157,Santiago,Avenida Mapocho
2863965254,2700,64.0,45.0,42.0,3.0,2,2,1,,,,,,Semi piso,,,-33.4423057,-70.6592633,Santiago,Tucapel Jiménez
1571327463,2710,57.0,47.0,47.0,,,2,1,,2,22,10,17,Departamento,P,24,-33.4387424,-70.644776,Santiago,Huérfanos
2861118468,2630,46.0,57.0,56.0,1.0,,2,2,1,1,23,,,Departamento,,0,-33.4403389,-70.656778,Santiago,Huérfanos
1591544607,2750,55.0,50.0,50.0,,,2,1,,,4,3,2,Departamento,,61,-33.4369648,-70.6442936,Santiago,Mosqueto
1532845651,2750,56.0,52.0,49.0,3.0,,2,2,1,1,31,12,6,Departamento,NP,8,-33.4426048,-70.6591972,Santiago,Moneda
1537033401,2750,91.0,35.0,30.0,5.0,1,1,1,,,20,20,,,N,6,-33.4377225,-70.6449908,Santiago,Merced
1562508155,2750,55.0,55.0,50.0,5.0,2,1,1,,1,29,,,Departamento,P,15,-33.438153,-70.6557514,Santiago,Catedral
1571671139,2750,55.0,55.0,50.0,5.0,,1,1,,1,20,6,8,Departamento,P,14,-33.438153,-70.6557514,Santiago,Catedral
