id,monto,ppm2,superficie_t,superficie_u,terraza,dormitorios,banos,estacionamiento,bodegas,cantidad_pisos,piso,tipo_depto,antiguedad,latitud,longitud,comuna,calle,orientacion_norm,Or_N,Or_S,Or_E,Or_O
2862240862,9980,83.0,140.0,120.0,20.0,3.0,3.0,2,1,4.0,7.0,Departamento,18.0,-33.4238399,-70.5824963,Las Condes,Cristóbal Colón,NSEO,1,1,1,1
1592359521,9980,83.0,140.0,120.0,20.0,3.0,3.0,2,1,4.0,7.0,Departamento,18.0,-33.4238399,-70.5824963,Las Condes,Cristóbal Colón,NSEO,1,1,1,1
2839332008,7200,150.0,60.0,48.0,12.0,1.0,1.0,1,1,9.0,8.0,Departamento,2.0,-33.4243581,-70.5910575,Las Condes,Martín De Zamora,S,0,1,0,0
2852490718,18750,54.0,385.0,345.0,40.0,4.0,4.0,3,2,3.0,3.0,Departamento,0.0,-33.3760105,-70.5157327,Las Condes,Camino San Francisco De Asís,NSEO,1,1,1,1
2856828830,8200,136.0,65.0,60.0,8.0,2.0,2.0,2,1,22.0,12.0,Departamento,16.0,-33.4060231,-70.5779089,Las Condes,Avenida Alonso De Córdova,N,1,0,0,0
2854191132,9590,111.0,101.0,86.0,15.0,2.0,2.0,0,1,12.0,6.0,Departamento,2.0,-33.4285942,-70.5775586,Las Condes,Javier De La Rosa,SE,0,1,1,0
1586738535,13950,115.0,215.0,121.0,84.0,5.0,3.0,3,2,12.0,8.0,Departamento,28.0,-33.4266768,-70.576854,Las Condes,Felipe Ii,SE,0,1,1,0
2162649790,9400,90.0,130.0,104.0,26.0,4.0,3.0,1,1,15.0,12.0,Departamento,18.0,-33.4236887,-70.5819438,Las Condes,Cristóbal Colón,O,0,0,0,1
2802713724,19500,108.0,200.0,180.0,20.0,4.0,4.0,2,1,3.0,3.0,Departamento,0.0,-33.3848161,-70.5227454,Las Condes,Camino La Viña,O,0,0,0,1
1591362899,10900,99.0,142.0,110.0,32.0,3.0,3.0,1,1,14.0,14.0,Departamento,31.0,-33.4247075,-70.5810067,Las Condes,Rodrigo De Triana,NO,1,0,0,1
1539680325,9950,94.0,122.0,105.0,17.0,3.0,3.0,1,1,11.0,9.0,Departamento,0.0,-33.4289151,-70.5760397,Las Condes,Latadía,NO,1,0,0,1
1589741843,10600,76.0,156.0,138.0,18.0,4.0,4.0,2,1,10.0,6.0,Departamento,18.0,-33.4305787,-70.5637238,Las Condes,Hernando De Magallanes,SE,0,1,1,0
2799283278,59900,181.0,403.0,330.0,73.0,4.0,6.0,4,2,2.0,1.0,Dúplex,4.0,-33.3847168,-70.5193553,Las Condes,San Damián,N,1,0,0,0
2767272738,33000,105.0,599.0,312.0,287.0,5.0,5.0,4,1,4.0,2.0,-,0.0,-33.3783976,-70.4943162,Las Condes,San José De La Sierra,NO,1,0,0,1
