link,nombre,fecha_consultado,fecha_publicado,divisa,monto,ppm2,ppm2_avg,superficie_t,superficie_u,terraza,ambientes,dormitorios,banos,ubicacion,estacionamiento,bodegas,cantidad_pisos,dep_por_piso,piso,tipo_depto,orientacion,antiguedad,gastos_comunes,coordenadas
https://portalinmobiliario.com/MLC-2854542536,Avda. Los Presidentes (69410),2025-04-05,Publicado hace 27 días,UF,5.190,74 UF/m²,64 UF/m²,76 m²,70 m²,6 m²,,2,2,"Avenida Los Presidentes 7800 - 8100, Peñalolén, Chile, Villa San Carlos, Peñalolén, RM (Metropolitana)",1,1,5,8,4,Departamento,NP,11 años,,-33.4879627%2C-70.5521612
https://portalinmobiliario.com/MLC-2858090708,Gran Departamento Ideal Para Remodelar!!!!,2025-04-05,Publicado hace 20 días por Cym Propiedades,UF,12.900,49 UF/m²,87 UF/m²,290 m²,261 m²,29 m²,6,4,4,"Vespucio Norte/las Hualtatas, Pío XI, Vitacura, RM (Metropolitana)",2,1,,,,Semi piso,P,0 años,,-33.4026174%2C-70.5863422
https://portalinmobiliario.com/MLC-1584728607,Departamento Familiar/brisas Del Sur Ii,2025-04-05,Publicado hace 26 días por Engel & Völkers Iquique,UF,4.500,53 UF/m²,57 UF/m²,88 m²,84 m²,4 m²,3,3,2,"Avenida Proyectada  Depto., Cerro Dragón, Iquique, Tarapacá",1,,23,6,,,SP,10 años,,-20.2747515%2C-70.1260437
https://portalinmobiliario.com/MLC-2591270806,Departamento En El Quisco,2025-04-05,Publicado hace 8 meses,$,99.000.000,,,65 m²,65 m²,,,2,2,Verifica que el inmueble exista y desconfía si te dicen que necesitan vender o arrendar con urgencia.,,,,,,,,,,-33.4009036%2C-71.6960938
https://portalinmobiliario.com/MLC-2778778544,Departamento En Venta De 3 Dorm. En Independencia,2025-04-05,,UF,3.450,47 UF/m²,53 UF/m²,77 m²,72 m²,5 m²,,3,2,"Departamento General Prieto Independencia, Metro Cal y Canto, Independencia, RM (Metropolitana)",,1,22,,,Departamento,NP,9 años,,-33.4299192%2C-70.6562492
https://portalinmobiliario.com/MLC-2829227862,"Departamento En Venta De 2 Dorm, 1 Baño Estac.talca",2025-04-05,Publicado hace 2 meses,$,55.000.000,28 UF/m²,57 UF/m²,50 m²,50 m²,,,2,1,"Departamento En Av. Colin , 2 Dormitorios 1 Baño ,estacionamiento, Talca, La Florida, Talca, Maule",1,,5,4,4,Departamento,N,65 años,,-35.4386547%2C-71.6807892
https://portalinmobiliario.com/MLC-1591071125,Departamento En Venta De 3 Dorm. En La Serena,2025-04-05,,UF,2.725,53 UF/m²,79 UF/m²,54 m²,51 m²,3 m²,,3,1,"Avda.libertad, Centro de La Serena, La Serena, Coquimbo",1,,5,,,Departamento,,0 años,,-29.9058174%2C-71.2501308
https://portalinmobiliario.com/MLC-1571935499,"Vendo Gran Departamento La Dehesa, Lo Barnechea",2025-04-05,Publicado hace 2 meses,UF,12.950,108 UF/m²,101 UF/m²,167 m²,119 m²,48 m²,,3,3,"Federico Lathrop 12300 - 12600, Lo Barnechea, La Dehesa, Lo Barnechea, RM (Metropolitana)",2,2,4,4,2,Departamento,N,1 años,,-33.3617484%2C-70.5214401
https://portalinmobiliario.com/MLC-1544835867,Vende Departamento Remodelad Paso Cine Supermercado Rancagua,2025-04-05,Publicado hace 4 meses,$,127.000.000,,,70 m²,76 m²,6 m²,,3,2,"Avenida San Joaquín & Miguel Ramírez, La Compañía, Rancagua, Libertador B. O'Higgins",1,,5,4,5,Departamento,,25 años,,-34.1753139%2C-70.7046732
https://portalinmobiliario.com/MLC-1589088569,Departamento En Termas De Chillán,2025-04-05,,UF,6.080,,,"70,6 m²","66,82 m²","3,78 m²",3,3,2,"Chillán, Termas de Chillán, Pinto, Ñuble",1,1,8,5,6,Departamento,SP,11 años,,-36.9116614%2C-71.4215761
https://portalinmobiliario.com/MLC-1572275603,"En Altura, Preciosa Vista, Y Remodelado",2025-04-05,,UF,13.900,99 UF/m²,97 UF/m²,160 m²,140 m²,20 m²,3,3,4,"Noruega , Depto., Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",2,,17,3,17,Departamento,SO,23 años,,-33.4037%2C-70.5628
https://portalinmobiliario.com/MLC-2845637960,Departamento En Venta De 2 Dorm. En Santiago,2025-04-05,,UF,3.500,64 UF/m²,51 UF/m²,54 m²,54 m²,,,2,2,Revisa el remitente de los e-mails y asegúrate que sean enviados por Portalinmobiliario.com o tu asesor inmobiliario designado.,,,,,,,,,,-33.440719%2C-70.6728393
https://portalinmobiliario.com/MLC-1545920831,Precioso Departamento Con Amplia Terraza,2025-04-05,,UF,19.800,127 UF/m²,102 UF/m²,285 m²,155 m²,130 m²,3,3,2,"La Dehesa, La Dehesa, Lo Barnechea, RM (Metropolitana)",2,,,1,1,Departamento,N,7 años,,-33.3586%2C-70.51491
